generic_name,status,package_ndc,update_date,company_name,rxcuis,brand_names,product_ndcs,therapeutic_categories,dosage_form,source_url
Albuterol Sulfate Solution,Current,0487-9901-30,2026-04-20,Nephron Pharmaceuticals Corporation,245314,ALBUTEROL SULFATE,0487-9901,Pulmonary/Allergy; Pediatric,Solution,https://api.fda.gov/drug/shortages.json
Albuterol Sulfate Solution,Current,64980-642-03,2026-01-14,"Rising Pharma Holdings, Inc.",245314,ALBUTEROL SULFATE,64980-642,Pediatric; Pulmonary/Allergy,Solution,https://api.fda.gov/drug/shortages.json
Albuterol Sulfate Solution,Current,76204-027-01,2026-03-16,"Ritedose Pharmaceuticals, LLC",245314,"ALBUTEROL SULFATE INHALATION SOLUTION, 0.5%",76204-027,Pediatric; Pulmonary/Allergy,Solution,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0264-1933-10,2026-04-20,B. Braun Medical Inc.,800611; 1189640,TROPHAMINE,0264-1933,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0264-4500-00,2026-04-20,B. Braun Medical Inc.,800584; 1601982,PLENAMINE,0264-4500,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0264-4500-05,2026-04-20,B. Braun Medical Inc.,800584; 1601982,PLENAMINE,0264-4500,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-0499-06,2026-04-20,Baxter Healthcare,801133; 801136,PROSOL,0338-0499,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-0502-03,2026-04-20,Baxter Healthcare,800584; 800588,CLINISOL,0338-0502,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-0502-06,2026-04-20,Baxter Healthcare,800584; 800588,CLINISOL,0338-0502,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-0644-03,2026-04-20,Baxter Healthcare,801644; 801648,TRAVASOL,0338-0644,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-0644-04,2026-04-20,Baxter Healthcare,801644; 801648,TRAVASOL,0338-0644,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-0644-06,2026-04-20,Baxter Healthcare,801644; 801648,TRAVASOL,0338-0644,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-1130-03,2026-04-20,Baxter Healthcare,801395; 801398; 801403; 801405,PREMASOL - SULFITE-FREE (AMINO ACID),0338-1130; 0338-1131,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-1130-04,2026-04-20,Baxter Healthcare,801395; 801398; 801403; 801405,PREMASOL - SULFITE-FREE (AMINO ACID),0338-1130; 0338-1131,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0338-1130-06,2026-04-20,Baxter Healthcare,801395; 801398; 801403; 801405,PREMASOL - SULFITE-FREE (AMINO ACID),0338-1130; 0338-1131,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0990-4178-03,2026-04-17,Otsuka ICU Medical LLC,831426; 831430,AMINOSYN-PF,0990-4178,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0990-4179-05,2026-04-17,Otsuka ICU Medical LLC,800341; 800345,AMINOSYN-PF,0990-4179,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0990-7171-17,2026-04-17,Otsuka ICU Medical LLC,800188; 800192; 800237; 800241,AMINOSYN II,0990-7171; 0990-7172,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
Amino Acid Injection,Current,0990-7172-17,2026-04-17,Otsuka ICU Medical LLC,800188; 800192; 800237; 800241,AMINOSYN II,0990-7172; 0990-7171,Gastroenterology,Injection,https://api.fda.gov/drug/shortages.json
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,0185-0842-01,2026-04-24,Sandoz Inc.,541363; 541878; 541892; 577961,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",0185-0842; 0185-0831; 0185-0853; 0185-0864; 0185-2099; 0185-2098,Psychiatry,Tablet,https://api.fda.gov/drug/shortages.json
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,0185-0853-01,2026-04-24,Sandoz Inc.,541363; 541878; 541892; 577961,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",0185-0853; 0185-0831; 0185-0842; 0185-0864; 0185-2099; 0185-2098,Psychiatry,Tablet,https://api.fda.gov/drug/shortages.json
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,0185-2098-01,2026-04-24,Sandoz Inc.,541363; 541878; 541892; 577961,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",0185-2098; 0185-0831; 0185-0842; 0185-0853; 0185-0864; 0185-2099,Psychiatry,Tablet,https://api.fda.gov/drug/shortages.json
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,0185-2099-01,2026-04-24,Sandoz Inc.,541363; 541878; 541892; 577961,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",0185-2099; 0185-0831; 0185-0842; 0185-0853; 0185-0864; 0185-2098,Psychiatry,Tablet,https://api.fda.gov/drug/shortages.json
